sample_name,fq1,fq2,run_id,is_amplicon_data
102509,data/2021-07-13/102509_S8_L001_R1_001.fastq.gz,data/2021-07-13/102509_S8_L001_R2_001.fastq.gz,2021-07-13,1
102527,data/2021-07-13/102527_S2_L001_R1_001.fastq.gz,data/2021-07-13/102527_S2_L001_R2_001.fastq.gz,2021-07-13,1
104062,data/2021-07-13/104062_S1_L001_R1_001.fastq.gz,data/2021-07-13/104062_S1_L001_R2_001.fastq.gz,2021-07-13,1
104063,data/2021-07-13/104063_S2_L001_R1_001.fastq.gz,data/2021-07-13/104063_S2_L001_R2_001.fastq.gz,2021-07-13,1
104499,data/2021-07-13/104499_S3_L001_R1_001.fastq.gz,data/2021-07-13/104499_S3_L001_R2_001.fastq.gz,2021-07-13,1
105834,data/2021-07-13/105834_S4_L001_R1_001.fastq.gz,data/2021-07-13/105834_S4_L001_R2_001.fastq.gz,2021-07-13,1
17431,data/2021-07-13/17431_S7_L001_R1_001.fastq.gz,data/2021-07-13/17431_S7_L001_R2_001.fastq.gz,2021-07-13,0
17432,data/2021-07-13/17432_S8_L001_R1_001.fastq.gz,data/2021-07-13/17432_S8_L001_R2_001.fastq.gz,2021-07-13,0
17438,data/2021-07-13/17438_S12_L001_R1_001.fastq.gz,data/2021-07-13/17438_S12_L001_R2_001.fastq.gz,2021-07-13,0
21204,data/2021-07-13/21204_S10_L001_R1_001.fastq.gz,data/2021-07-13/21204_S10_L001_R2_001.fastq.gz,2021-07-13,0
25143,data/2021-07-13/25143_S11_L001_R1_001.fastq.gz,data/2021-07-13/25143_S11_L001_R2_001.fastq.gz,2021-07-13,0
25375,data/2021-07-13/25375_S2_L001_R1_001.fastq.gz,data/2021-07-13/25375_S2_L001_R2_001.fastq.gz,2021-07-13,0
25530,data/2021-07-13/25530_S1_L001_R1_001.fastq.gz,data/2021-07-13/25530_S1_L001_R2_001.fastq.gz,2021-07-13,0
27496,data/2021-07-13/27496_S24_L001_R1_001.fastq.gz,data/2021-07-13/27496_S24_L001_R2_001.fastq.gz,2021-07-13,0
28993,data/2021-07-13/28993_S13_L001_R1_001.fastq.gz,data/2021-07-13/28993_S13_L001_R2_001.fastq.gz,2021-07-13,0
28998,data/2021-07-13/28998_S3_L001_R1_001.fastq.gz,data/2021-07-13/28998_S3_L001_R2_001.fastq.gz,2021-07-13,0
29113,data/2021-07-13/29113_S8_L001_R1_001.fastq.gz,data/2021-07-13/29113_S8_L001_R2_001.fastq.gz,2021-07-13,0
29372,data/2021-07-13/29372_S17_L001_R1_001.fastq.gz,data/2021-07-13/29372_S17_L001_R2_001.fastq.gz,2021-07-13,0
29515,data/2021-07-13/29515_S2_L001_R1_001.fastq.gz,data/2021-07-13/29515_S2_L001_R2_001.fastq.gz,2021-07-13,0
33529,data/2021-07-13/33529_S24_L001_R1_001.fastq.gz,data/2021-07-13/33529_S24_L001_R2_001.fastq.gz,2021-07-13,1
33736,data/2021-07-13/33736_S10_L001_R1_001.fastq.gz,data/2021-07-13/33736_S10_L001_R2_001.fastq.gz,2021-07-13,0
